frame,track_id,class_id,x1,y1,x2,y2,cx,cy,pitch_x,pitch_y,team_id_x,team_id_y,team_id
9,8,0,345.693,482.74304,351.8176,496.47385,348.7553,496.47385,13.236876,119.74251,1.0,,
9,2,0,254.86761,472.28012,259.04092,485.48032,256.95428,485.48032,34.920273,107.526,1.0,,
9,9,2,218.34383,466.15884,224.87776,488.0447,221.6108,488.0447,44.155743,111.94852,,0.0,0.0
9,5,2,265.5061,455.11652,270.24838,471.1336,267.87726,471.1336,31.019094,86.83869,,0.0,0.0
9,6,2,233.65324,440.6913,239.74103,460.59973,236.69714,460.59973,38.657085,71.419014,,0.0,0.0
9,10,0,294.27893,443.82574,299.13376,459.74127,296.70636,459.74127,22.306604,69.029915,0.0,,
10,1,0,317.6607,462.74423,322.1907,477.11786,319.92572,477.11786,18.136543,94.365036,1.0,,
10,3,2,203.58821,428.1685,209.00763,444.98663,206.29791,444.98663,46.41488,46.22516,,0.0,0.0
10,8,0,345.68176,482.6366,351.82404,496.53992,348.7529,496.53992,13.245133,119.827286,1.0,,
10,2,0,254.8555,472.2838,258.9057,485.58563,256.8806,485.58563,34.94629,107.67264,1.0,,
10,9,2,218.47816,466.1456,224.86964,488.1339,221.6739,488.1339,44.14347,112.068756,,0.0,0.0
10,5,2,265.51065,454.61594,270.2189,471.1661,267.86478,471.1661,31.025,86.886894,,0.0,0.0
10,6,2,233.66751,441.1339,239.53934,460.757,236.60342,460.757,38.69276,71.66735,,0.0,0.0
11,1,0,317.75095,463.079,322.34457,476.32928,320.04776,476.32928,18.018272,93.24322,1.0,,
11,3,2,203.78282,428.26917,209.10184,444.8524,206.44232,444.8524,46.366814,45.992325,,0.0,0.0
11,8,0,345.9117,483.00714,352.0444,496.2028,348.97806,496.2028,13.152035,119.38878,1.0,,
11,2,0,254.95709,472.1643,259.30923,485.57217,257.13318,485.57217,34.880768,107.64779,1.0,,
11,9,2,219.85904,466.16284,226.04117,487.80145,222.9501,487.80145,43.798393,111.58085,,0.0,0.0
11,6,2,233.69614,440.92557,239.67471,460.816,236.68542,460.816,38.67393,71.7584,,0.0,0.0
11,10,0,294.5032,443.86975,299.38397,459.61984,296.9436,459.61984,22.230341,68.836914,0.0,,
11,5,2,265.54074,452.85336,270.29764,470.51935,267.9192,470.51935,30.958515,85.930176,,0.0,0.0
12,1,0,317.8245,462.66898,322.37302,476.42963,320.09875,476.42963,18.016459,93.38474,1.0,,
12,8,0,345.9379,483.0945,351.98108,496.18106,348.95947,496.18106,13.153949,119.361374,1.0,,
12,3,2,203.82991,427.9895,209.12244,444.67706,206.47617,444.67706,46.3491,45.689873,,0.0,0.0
12,6,2,233.69484,440.95776,239.65437,460.83682,236.6746,460.83682,38.678215,71.791214,,0.0,0.0
12,9,2,219.83817,466.18442,225.96619,487.86453,222.90218,487.86453,43.813694,111.66839,,0.0,0.0
12,2,0,254.95708,472.15567,259.32288,485.4354,257.13998,485.4354,34.869694,107.45956,1.0,,
12,5,2,265.534,452.99136,270.25385,470.50732,267.89392,470.50732,30.964218,85.9129,,0.0,0.0
12,10,0,294.50797,443.81274,299.4957,459.6464,297.00183,459.6464,22.21756,68.87724,0.0,,
13,8,0,346.32657,483.0466,352.3015,496.26318,349.31403,496.26318,13.078702,119.45736,1.0,,
13,1,0,318.2849,462.10886,322.60812,476.60733,320.44653,476.60733,17.947916,93.629524,1.0,,
13,3,2,204.0298,427.6626,209.29901,444.74982,206.6644,444.74982,46.2975,45.812977,,0.0,0.0
13,10,0,295.12927,443.97006,300.03647,459.4216,297.5829,459.4216,22.038313,68.517334,0.0,,
13,2,0,254.97307,472.17258,259.60776,485.39774,257.2904,485.39774,34.828632,107.403984,1.0,,
13,9,2,220.48074,466.14365,226.89009,487.3981,223.68542,487.3981,43.589504,111.00935,,0.0,0.0
13,6,2,233.70534,441.28305,239.61064,460.80872,236.65799,460.80872,38.681015,71.74746,,0.0,0.0
13,5,2,265.56195,452.83282,270.52747,470.6889,268.0447,470.6889,30.93907,86.17838,,0.0,0.0
14,1,0,318.35144,462.23346,322.59564,476.70227,320.47354,476.70227,17.951605,93.7637,1.0,,
14,8,0,346.33188,482.9846,352.33804,496.39456,349.33496,496.39456,13.089024,119.625374,1.0,,
14,3,2,204.05824,427.57996,209.34789,444.63077,206.70306,444.63077,46.280876,45.60734,,0.0,0.0
14,10,0,295.11154,443.86084,300.07138,459.40875,297.59146,459.40875,22.034655,68.49717,0.0,,
14,2,0,254.97437,472.194,259.6317,485.37845,257.30304,485.37845,34.82408,107.37713,1.0,,
14,6,2,233.7095,441.23987,239.64148,460.8378,236.67549,460.8378,38.678036,71.792725,,0.0,0.0
14,5,2,265.57132,453.10568,270.52844,470.6239,268.04987,470.6239,30.932457,86.082146,,0.0,0.0
14,9,2,220.48138,466.08084,226.91393,487.38855,223.69766,487.38855,43.585896,110.99595,,0.0,0.0
15,1,0,318.39572,462.38544,322.66537,476.53156,320.53055,476.53156,17.918177,93.520065,1.0,,
15,8,0,346.44965,483.24863,352.383,496.23892,349.41632,496.23892,13.0514,119.4235,1.0,,
